"MIDAS","Lakes","Samples","Stations","Years","FirstYears","LastYears","Means","Medians","Slopes","PValues","TSPValues","TSSlopes"
"1","3188","3188",269,1,10,2009,2018,6.76133829776239,6.84000015258789,-0.0754543425039261,1.40245915119129e-05,1.40245915118673e-05,-0.0499998331069977
"2","3228","3228",6,1,6,2013,2018,2.7383333047231,2.8199999332428,-0.00885712759837339,0.938855024781496,0.938855024781629,0.0300000111262
"3","3234","3234",225,1,10,2009,2018,5.32186667654249,5.36999988555908,0.0799703889443438,4.49142913645539e-07,4.49142913644127e-07,0.112499952316283
"4","3262","3262",74,1,10,2009,2018,3.83297296794685,3.83999991416932,0.0838805117988145,9.60327996311848e-06,9.6032799631189e-06,0.0899999936421733
"5","3370","3370",10,1,10,2009,2018,2.93500001430511,2.9300000667572,-0.00442425554448889,0.832643819728624,0.832643819728623,-0.00749999284744056
"6","3374","3374",120,1,10,2009,2018,7.61016663710276,7.52999997138977,0.152028478025893,1.71977227408795e-06,1.71977227408845e-06,0.12703572681972
"7","3376","3376",76,1,10,2009,2018,4.61552634050972,4.61500000953674,0.0180350353151646,0.484530967796335,0.484530967796562,0
"8","3382","3382",148,1,10,2009,2018,9.61506758831643,9.80000019073486,-0.0433444739276483,0.134741309563899,0.134741309564172,-0.0669047491891029
"9","3388","3388",45,1,6,2009,2017,5.43777777353923,5.34999990463257,-0.0651183587567856,0.00260111695237812,0.00260111695237926,-0.0871428080967501
"10","3390","3390",22,1,5,2009,2017,8.95227278362621,8.84000015258789,-0.0818914184570315,0.266155308537789,0.266155308537784,-0.162499976158142
"11","3392","3392",231,1,10,2009,2018,6.53402597873242,6.5,0.0435148098138088,0.017620566759558,0.0176205667595681,0.0400000572204579
"12","3396","3396",138,1,10,2009,2018,7.29500000373177,7.35500001907348,0.0580732800215625,0.00912205207590217,0.00912205207593425,0.0724999268849693
"13","3414","3414",16,1,10,2009,2018,3.49812500178814,3.47500002384186,0.0228637140758784,0.398570590341023,0.398570590341023,0.0153333187103262
"14","3416","3416",212,2,10,2009,2018,5.92726415508198,5.90000009536743,0.0633257374988295,0.000117833338018278,0.000117833338018254,0.0787500341733295
"15","3417","3417",9,1,9,2009,2018,1.47000000211928,1.5,0.00595161203415121,0.463112188272439,0.463112188272409,0
"16","3418","3418",122,1,10,2009,2018,6.12983607854999,6.04500007629395,0.0963524671666667,1.30958437342436e-05,1.30958437342435e-05,0.103499960899353
"17","3420","3420",185,1,10,2009,2018,5.40075676119005,5.30999994277954,0.118253083756548,5.00556393160484e-08,5.00556393160734e-08,0.129166682561238
"18","3424","3424",121,1,10,2009,2018,7.19983470932511,7.25,0.0390339373554813,0.115915218016824,0.115915218016857,0.080000019073486
"19","3446","3446",100,2,10,2009,2018,8.15030002593994,8.10000038146973,0.146036276054175,2.84202242554364e-06,2.8420224255426e-06,0.15000009536743
"20","3448","3448",128,1,10,2009,2018,5.80343750119209,5.79500007629395,0.066452985869499,0.0181501536053034,0.0181501536053019,0.0724999427795423
"21","3452","3452",135,1,10,2009,2018,5.65074074356644,5.53000020980835,0.0795149240281806,0.000713847161516685,0.000713847161516996,0.061250030994415
"22","3454","3454",131,1,10,2009,2018,6.89564882525961,6.94000005722046,0.0727597947911719,0.00955682681150567,0.00955682681147258,0.100000023841857
"23","3456","3456",126,1,10,2009,2018,4.90444445420825,4.90000009536743,0.089917498821803,1.50080116471947e-05,1.50080116472059e-05,0.103749990463256
"24","3458","3458",14,1,10,2009,2018,4.47000002861023,4.54999995231629,0.0886961961094328,0.104858146221657,0.104858146221641,0.0635267798389712
"25","3690","3690",41,1,8,2009,2017,5.80731708247487,5.80000019073486,0.0356472279867292,0.230163835795149,0.230163835795196,-0.0183332761128759
"26","3694","3694",120,1,10,2009,2018,6.52341663837433,6.51000022888184,0.0764023458769418,0.000931069460660658,0.000931069460660048,0.0681666215260832
"27","3696","3696",236,2,10,2009,2018,6.20224576380293,6.19999980926514,0.0345642369898561,0.0648778090139409,0.0648778090138048,0.0343749821186069
"28","3700","3700",91,1,10,2009,2018,6.83967034371345,6.8899998664856,0.166294592626276,3.65871023105632e-07,3.65871023105386e-07,0.166666666666667
"29","3706","3706",106,1,10,2009,2018,5.76858491717644,5.84500002861023,0.0378988948126037,0.000282880955300811,0.000282880955300817,0.0408333341280602
"30","3708","3708",116,1,10,2009,2018,6.20603446713809,6.34500002861023,0.101256236359593,0.000783276448564549,0.000783276448562152,0.130375003814697
"31","3712","3712",122,1,10,2009,2018,5.42688526481879,5.5,0.00102155582108107,0.951249254036692,0.951249254036791,-0.00312501192092873
"32","3714","3714",342,3,10,2009,2018,5.5683040883806,5.73000001907349,0.0950713722897269,0.000295063582715566,0.000295063582715303,0.105124962329865
"33","3728","3728",48,1,7,2012,2018,4.92979171872139,5.05000019073486,0.0630527663671142,0.0197269837577206,0.0197269837576787,0.0108334422111484
"34","3734","3734",333,2,10,2009,2018,4.91042043138911,4.90000009536743,0.0757191220794999,0.000958788279948809,0.000958788279949517,0.0842857360839843
"35","5780","5780",374,3,10,2009,2018,6.40002672557525,6.40000009536743,0.0574498053393269,3.79559639421131e-05,3.79559639420673e-05,0.0750000476837149
"36","5786","5786",31,7,5,2009,2018,8.15451613549263,8.39999961853027,-0.326979627226511,0.00168980979044321,0.0016898097904429,0.0242857251848501
"37","9685","9685",120,1,10,2009,2018,6.61166667143504,6.66499996185303,0.0424398260321029,0.0976260184448983,0.0976260184450086,0.0488333503405248
