"","MIDAS","Mean","Median","SD","N","SE","MIDAS2","Name"
"1","3188",6.76133829776239,6.84000015258789,0.824424975646247,269,0.0502660779164762,"3188","Foster Pond"
"2","3228",2.7383333047231,2.8199999332428,0.406271658718146,6,0.165859710135601,"3228","Duck Pond"
"3","3234",5.32186667654249,5.36999988555908,0.680858233916263,225,0.0453905489277509,"3234","Stearns Pond"
"4","3262",3.83297296794685,3.83999991416932,0.502030739966098,74,0.0583598880978712,"3262","Songo Pond"
"5","3370",2.93500001430511,2.9300000667572,0.17405300072609,10,0.0550403915881385,"3370","Holt Pond"
"6","3374",7.61016663710276,7.52999997138977,1.05591966880149,120,0.0963918369193262,"3374","Peabody Pond"
"7","3376",4.61552634050972,4.61500000953674,0.578202730629062,76,0.0663244018866145,"3376","Cold Rain Pond"
"8","3382",9.61506758831643,9.80000019073486,1.0717958203841,148,0.0881010737346302,"3382","Tricky Pond"
"9","3388",5.43777777353923,5.34999990463257,0.454202072348985,45,0.0677084472862405,"3388","Parker Pond"
"10","3390",8.95227278362621,8.84000015258789,0.909546807506352,22,0.193916030919313,"3390","Coffee Pond"
"11","3392",6.53402597873242,6.5,0.809574645731016,231,0.0532661010355176,"3392","Thomas Pond"
"12","3396",7.29500000373177,7.35500001907348,0.80194676554037,138,0.0682662421487095,"3396","Adams Pond"
"13","3414",3.49812500178814,3.47500002384186,0.303451660843343,16,0.0758629152108358,"3414","Papoose Pond"
"14","3416",5.92726415508198,5.90000009536743,0.673617297663341,212,0.0462642259463143,"3416","Keoka Lake"
"15","3417",1.47000000211928,1.5,0.0620483594883535,9,0.0206827864961178,"3417","Bog Pond"
"16","3418",6.12983607854999,6.04500007629395,0.737628520172599,122,0.0667817483760652,"3418","Long Pond"
"17","3420",5.40075676119005,5.30999994277954,0.902638912663963,185,0.0663633327061401,"3420","Bear Pond"
"18","3424",7.19983470932511,7.25,0.795840197710874,121,0.0723491088828067,"3424","Little Moose Pond"
"19","3446",8.15030002593994,8.10000038146973,0.993126350921427,100,0.0993126350921427,"3446","Pleasant Lake"
"20","3448",5.80343750119209,5.79500007629395,0.920415373803939,128,0.0813539940406396,"3448","Island Pond"
"21","3452",5.65074074356644,5.53000020980835,0.815724760775907,135,0.0702064091905359,"3452","Crystal Lake"
"22","3454",6.89564882525961,6.94000005722046,0.917478226664703,131,0.0801604448535126,"3454","Highland Lake"
"23","3456",4.90444445420825,4.90000009536743,0.71208824925155,126,0.0634378632820711,"3456","Woods Pond"
"24","3458",4.47000002861023,4.54999995231629,0.578446177146565,14,0.154596243683685,"3458","Otter Pond"
"25","3690",5.80731708247487,5.80000019073486,0.391541991843826,41,0.0611485858036082,"3690","Raymond Pond"
"26","3694",6.52341663837433,6.51000022888184,0.762887556867407,120,0.0696417872893806,"3694","Panther Pond"
"27","3696",6.20224576380293,6.19999980926514,0.869576338487661,236,0.0566045982612005,"3696","Crescent Lake"
"28","3700",6.83967034371345,6.8899998664856,0.953924571983395,91,0.0999984664186639,"3700","Sabbathday Lake"
"29","3706",5.76858491717644,5.84500002861023,0.306294107864268,106,0.0297499136691894,"3706","Notched Pond"
"30","3708",6.20603446713809,6.34500002861023,0.883866855632571,116,0.0820649773300889,"3708","Crystal Lake"
"31","3712",5.42688526481879,5.5,0.533443651127342,122,0.0482957189264588,"3712","Forest Lake"
"32","3714",5.5683040883806,5.73000001907349,1.40304299159957,342,0.0758678760016131,"3714","Little Sebago Lake"
"33","3728",4.92979171872139,5.05000019073486,0.344442127691446,48,0.049715938785726,"3728","Collins Pond"
"34","3734",4.91042043138911,4.90000009536743,1.23121492452833,333,0.0674701622492333,"3734","Highland Lake"
"35","5780",6.40002672557525,6.40000009536743,0.787405375402194,374,0.0407157626656382,"5780","Long Lake"
"36","5786",8.15451613549263,8.39999961853027,1.79020636421811,31,0.321530554735648,"5786","Sebago Lake"
"37","9685",6.61166667143504,6.66499996185303,0.811801948434456,120,0.0741070398973663,"9685","Bay of Naples Lake"
