"Lakes"	"Slopes"	"PValues"	"Samples"	"Years"	"FirstYears"	"LastYears"
"1"	"3188"	"0.00657038268899479"	"0.116312557772754"	"671"	"35"	"1984"	"2018"
"2"	"3234"	"0.0191770677121883"	"1.13497818769894e-14"	"720"	"40"	"1975"	"2018"
"3"	"3262"	"0.023329576774984"	"1.78107395600744e-13"	"242"	"31"	"1974"	"2018"
"4"	"3374"	"0.00450481787085939"	"0.37982578267285"	"438"	"37"	"1976"	"2018"
"5"	"3376"	"-0.00280601419608066"	"0.461589492657"	"491"	"32"	"1987"	"2018"
"6"	"3382"	"-0.0193196067675583"	"0.000209119017833786"	"650"	"42"	"1976"	"2018"
"7"	"3388"	"0.0112386757926892"	"0.00257720458110857"	"209"	"29"	"1978"	"2017"
"8"	"3390"	"0.0529367413942368"	"1.83012384126247e-14"	"252"	"31"	"1974"	"2017"
"9"	"3392"	"0.0213167961234773"	"8.13917898005747e-09"	"547"	"36"	"1976"	"2018"
"10"	"3396"	"-0.00222028591702535"	"0.703958601102608"	"432"	"30"	"1989"	"2018"
"11"	"3414"	"0.0214121450395959"	"0.000436333760735449"	"267"	"30"	"1989"	"2018"
"12"	"3416"	"0.0355806723568687"	"1.64926127905364e-30"	"663"	"42"	"1977"	"2018"
"13"	"3418"	"0.0322737872798874"	"1.46429902335764e-12"	"558"	"41"	"1978"	"2018"
"14"	"3420"	"0.0111847945959588"	"0.00493549919779225"	"480"	"39"	"1978"	"2018"
"15"	"3424"	"0.00217840709914939"	"0.723793697159379"	"313"	"32"	"1987"	"2018"
"16"	"3446"	"0.00121314390845234"	"0.767531021018582"	"505"	"40"	"1977"	"2018"
"17"	"3448"	"0.0242063641964816"	"3.93401736672496e-05"	"341"	"32"	"1986"	"2018"
"18"	"3452"	"0.0222037873688456"	"3.32773839409907e-10"	"510"	"43"	"1972"	"2018"
"19"	"3454"	"0.0149985423453704"	"1.44718648083221e-05"	"497"	"45"	"1972"	"2018"
"20"	"3456"	"0.0163713315598453"	"3.2433096959863e-08"	"575"	"44"	"1972"	"2018"
"21"	"3458"	"0.0544779101574411"	"6.43328875602464e-18"	"174"	"30"	"1988"	"2018"
"22"	"3690"	"-0.00728352474720732"	"0.0475693449031513"	"238"	"37"	"1974"	"2017"
"23"	"3694"	"-0.00533520241198937"	"0.123170018860666"	"461"	"41"	"1974"	"2018"
"24"	"3696"	"-0.00282585283163493"	"0.324120645460975"	"720"	"38"	"1974"	"2018"
"25"	"3700"	"0.0180021586784377"	"0.00315491841514892"	"294"	"37"	"1975"	"2018"
"26"	"3706"	"0.0160391513920689"	"2.634000969285e-12"	"339"	"40"	"1976"	"2018"
"27"	"3708"	"-0.00232968427615791"	"0.570893423055346"	"316"	"36"	"1974"	"2018"
"28"	"3712"	"0.0134263896591129"	"2.36822765279882e-06"	"536"	"35"	"1974"	"2018"
"29"	"3714"	"0.0121833483328565"	"0.00013202330559597"	"1194"	"44"	"1975"	"2018"
"30"	"3728"	"0.00367041358978649"	"0.230809478161189"	"248"	"28"	"1975"	"2018"
"31"	"3734"	"-0.0280548617516354"	"2.04131132643188e-18"	"859"	"44"	"1974"	"2018"
"32"	"5780"	"0.0171374847437485"	"6.15890759195157e-13"	"1310"	"43"	"1976"	"2018"
"33"	"5786"	"0.00681120120057814"	"0.344473063146905"	"723"	"41"	"1970"	"2018"
"34"	"9685"	"0.00737907636130355"	"0.0934224726574689"	"377"	"41"	"1976"	"2018"
